- Floating entries whose name already exists in the list. Likely the same character.

ada wong  |  ada wong (resident evil)
ahri  |  ahri (league of legends)
airy  |  airy (bravely default)
akali  |  akali (league of legends)
alexstrasza  |  alexstrasza (warcraft)
amalia  |  amalia (unicorn overlord)
asui tsuyu  |  asui tsuyu (my hero academia)
bayonetta  |  bayonetta
bayonetta (series)  |  bayonetta
beatrix  |  beatrix (ff9)
betilla  |  betilla (rayman)
blood elf  |  blood elf (warcraft)
boa hancock  |  boa hancock (one piece)
cerberus  |  cerberus (helltaker), cerberus (last origin)
chloe von einzbern  |  chloe von einzbern (fate)
claire redfield  |  claire redfield
elin  |  elin (tera)
emma frost  |  emma frost (marvel rivals)
fae  |  fae (fire emblem)
gawr gura (casual)  |  gawr gura (hololive)
getou suguru  |  getou suguru (kenjaku)
goblin princess  |  goblin princess (towergirls)
hakurei reimu  |  hakurei reimu
harpie lady  |  harpie lady (normal monster)
hex maniac  |  hex maniac (pokemon)
hilda (series)  |  hilda (pokemon)
hoopa (confined)  |  hoopa
hoopa (unbound)  |  hoopa
hoshimachi suisei  |  hoshimachi suisei (school uniform)
igarashi futaba  |  igarashi futaba (shiromanta)
illyasviel von einzbern  |  illyasviel von einzbern (fate)
kanna  |  kanna (blaster master)
karakai jouzu no takagi-san  |  karakai jouzu no (moto) takagi-san
kazama iroha  |  kazama iroha (hololive)
kolin  |  kolin (street fighter)
la brava  |  la brava (my hero academia)
lisa  |  lisa (genshin impact)
mankanshoku mako  |  mankanshoku mako (kill la kill)
marvel  |  marvel (bloody roar)
mega man (series)  |  mega man
miquella  |  miquella (elden ring)
miss fortune  |  miss fortune (league of legends)
miyamoto musashi  |  miyamoto musashi (fate)
miyu edelfelt  |  miyu edelfelt (fate)
miyu edelfelt (magical girl)  |  miyu edelfelt (fate)
mori calliope  |  mori calliope (hololive)
mori calliope (1st costume)  |  mori calliope (hololive)
mother (series)  |  mother (pokemon), mother (yoru mac)
nia  |  nia (xenoblade chronicles), nia (xenoblade chronicles 2)
nico robin  |  nico robin (one piece), nico robin (strong world)
nier (series)  |  nier (granblue fantasy)
ninomae ina'nis (casual)  |  ninomae ina'nis (hololive)
noxus poppy  |  noxus poppy (lol)
oozora subaru (casual)  |  oozora subaru (hololive)
purah  |  purah (tears of the kingdom)
pyra  |  pyra (xenoblade chronicles), pyra (xenoblade chronicles 2)
ramlethal valentine  |  ramlethal valentine (guilty gear)
raven  |  raven (dc), raven (teen titans)
reg  |  reg (made in abyss)
reze  |  reze (chainsaw man)
rika  |  rika (pokemon), rika (touhou)
sakura miko (casual)  |  sakura miko (hololive)
sameko saba  |  sameko saba (vtuber)
sessyoin kiara  |  sessyoin kiara (fate)
shirakami fubuki  |  shirakami fubuki (fubukitek)
shirogane noel (casual)  |  shirogane noel (hololive)
shirogane noel (dirndl)  |  shirogane noel (hololive)
shishiro botan  |  shishiro botan (hololive)
shy guy  |  shy guy
sole survivor  |  sole survivor (female)
sonic the hedgehog (series)  |  sonic the hedgehog
soraka  |  soraka (league of legends)
starfire  |  starfire (teen titans)
takanashi kiara  |  takanashi kiara (hololive)
takanashi kiara (1st costume)  |  takanashi kiara (hololive)
toad  |  toad (mario)
tongkkangi  |  tongkkangi (streamer)
tooru hagakure  |  tooru hagakure (post-timeskip)
tooru hagakure (visible)  |  tooru hagakure (post-timeskip)
usada pekora (casual)  |  usada pekora (hololive)
wii fit trainer  |  wii fit trainer (female)
yaoyorozu momo  |  yaoyorozu momo (my hero academia)
yoshi  |  yoshi (nagatoro)
yrel  |  yrel (warcraft)
yuna  |  yuna (ff10)
